Year,Estimated Population,Geographical Area,Repoting Area,Net Sown Area,Total Cultivable Area,Gross Sown Area,Gross Irrigated Area,Net Irrigated Area
2000-01,50671,19602,18639,9433,12354,10440,3342,2806
2001-02,51556,19602,18639,9622,12357,10734,3572,2994
2002-03,52429,19602,18868,9481,12411,10631,3637,3046
2003-04,53290,19602,18868,9852,12412,11421,4111,3388
2004-05,54140,19602,18868,9747,12413,11257,4280,3528
2005-06,54979,19602,18868,9747,12413,11277,4420,3528
2006-07,55808,19602,18868,9747,12413,12175,4977,3528
